group,subject_number,block,task,central_task_accuracy,central_task_signal,central_task_decision,central_task_confidence,peripheral_task_accuracy,peripheral_task_signal,peripheral_task_decision,peripheral_task_confidence,central_frames,peripheral_frames,gabor_alpha_contrast,peripheral_task_reaction_time
control,1,-13,training_central_SOA,1,-1,-1,-4,.,.,.,.,25,23,0.029552246,.
control,1,-13,training_central_SOA,1,-1,-1,-3,.,.,.,.,25,23,0.029552246,.
control,1,-13,training_central_SOA,1,-1,-1,-4,.,.,.,.,25,23,0.029552246,.
control,1,-13,training_central_SOA,1,1,1,4,.,.,.,.,25,23,0.029552246,.
control,1,-13,training_central_SOA,0,1,-1,-3,.,.,.,.,25,23,0.029552246,.
control,1,-13,training_central_SOA,0,-1,1,4,.,.,.,.,25,23,0.029552246,.
control,1,-13,training_central_SOA,1,-1,-1,-4,.,.,.,.,25,23,0.029552246,.
control,1,-13,training_central_SOA,1,1,1,4,.,.,.,.,25,23,0.029552246,.
control,1,-13,training_central_SOA,1,1,1,4,.,.,.,.,25,23,0.029552246,.
control,1,-12,training_central_SOA,1,-1,-1,-4,.,.,.,.,25,23,0.029552246,.
control,1,-12,training_central_SOA,1,1,1,3,.,.,.,.,25,23,0.029552246,.
control,1,-12,training_central_SOA,1,1,1,4,.,.,.,.,25,23,0.029552246,.
control,1,-12,training_central_SOA,1,-1,-1,-4,.,.,.,.,25,23,0.029552246,.
control,1,-12,training_central_SOA,1,1,1,4,.,.,.,.,25,23,0.029552246,.
control,1,-12,training_central_SOA,1,-1,-1,-4,.,.,.,.,25,23,0.029552246,.
control,1,-12,training_central_SOA,1,1,1,3,.,.,.,.,25,23,0.029552246,.
control,1,-12,training_central_SOA,1,-1,-1,-4,.,.,.,.,25,23,0.029552246,.
control,1,-12,training_central_SOA,1,-1,-1,-4,.,.,.,.,25,23,0.029552246,.
control,1,-12,training_central_SOA,1,1,1,4,.,.,.,.,25,23,0.029552246,.
control,1,-12,training_central_SOA,1,1,1,3,.,.,.,.,25,23,0.029552246,.
